[2026-02-03 15:59:16,713][INFO][strategies][common.py:73] Using env -> /opt/squeeze-finder/.env -> staging
[2026-02-03 16:02:30,751][INFO][strategies][common.py:73] Using env -> /opt/squeeze-finder/.env -> staging
[2026-02-03 19:26:26,335][INFO][strategies][common.py:73] Using env -> /opt/squeeze-finder/.env -> staging
[2026-02-03 19:59:15,638][INFO][strategies][common.py:73] Using env -> /opt/squeeze-finder/.env -> staging
[2026-02-04 06:01:00,690][INFO][strategies][common.py:73] Using env -> /opt/squeeze-finder/.env -> staging
[2026-02-04 06:01:08,093][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,112][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,115][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,117][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,121][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,127][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,130][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,140][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,147][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,162][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,165][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,175][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,179][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,189][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,190][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,192][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,192][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
